Nom de la commune,Population totale,Latitude,Longitude
Sens-de-Bretagne,2 641,48.3328720,-1.5359128
Servon-sur-Vilaine,3 953,48.1214690,-1.4603703
Sixt-sur-Aff,2 208,47.7760854,-2.0803355
Sougeal,547,48.5101221,-1.5230205
Taillis,1 043,48.1890235,-1.2395239
Talensac,2 583,48.1092798,-1.9269063
Teillay,1 110,47.8065354,-1.5378472
Le Theil-de-Bretagne,1 742,47.9204169,-1.4293785
Thorigné-Fouillard,8 782,48.1535233,-1.5800238
Thourie,878,47.8554606,-1.4800723
Le Tiercent,193,48.3499201,-1.4071551
Tinténiac,4 044,48.3293178,-1.8352875
Torcé,1 270,48.0620743,-1.2673254
Trans-la-Forêt,633,48.4969674,-1.5899561
Treffendel,1 350,48.0412970,-2.0090611
Trémeheuc,360,48.4253250,-1.7036514
Tresbœuf,1 254,47.8836136,-1.5450634
Trévérien,923,48.3711548,-1.9287951
Trimer,210,48.3408660,-1.8921650
Le Tronchet,1 214,48.4862442,-1.8389770
Val-Couesnon,4 194,48.4408905,-1.4566868
Val d'Anast,4 013,47.9002239,-2.0224623
Val-d'Izé,2 649,48.1772441,-1.3018405
Vergéal,823,48.0362768,-1.2659042
Le Verger,1 445,48.0700479,-1.9320335
Vern-sur-Seiche,8 384,48.0452053,-1.6045972
Vezin-le-Coquet,6 411,48.1195379,-1.7571100
Vieux-Viel,329,48.5114519,-1.5446441
Vieux-Vy-sur-Couesnon,1 295,48.3425220,-1.4882078
Vignoc,2 236,48.2487420,-1.7840405
Villamée,300,48.4609708,-1.2210889
La Ville-ès-Nonais,1 248,48.5475140,-1.9524150
Visseiche,864,47.9556230,-1.3005080
Vitré,19 553,48.1244503,-1.2143310
Le Vivier-sur-Mer,1 072,48.6024330,-1.7754575
